x y R1 R2 R3 R1x R1y R1z R2x R2y R2z R3x R3y R3z
0 100 241211.696347 137642.891904 239410.837258 -5.89205e-010 215746 107873 -135885 -19613.3 -9806.65 135885 -196133 19613.3
0 101 232666.264003 130631.249959 228969.233511 -5.64201e-010 205891 108363 -129091 -17701 -9316.32 129091 -188190 18632.6
0 102 224143.723735 123639.418156 218371.350109 -2.11758e-008 195937 108854 -122296 -15886.8 -8825.99 122296 -180050 17652
0 103 215660.368832 116666.383198 207616.322888 8.02804e-009 185885 109344 -115502 -14170.6 -8335.65 115502 -171714 16671.3
0 104 207235.282394 109711.127132 196703.310130 -3.4161e-009 175735 109834 -108708 -12552.5 -7845.32 108708 -163183 15690.6
0 105 198890.884212 102772.627580 185631.491932 -1.22384e-009 165487 110325 -101914 -11032.5 -7354.99 101914 -154455 14710
0 106 190653.584361 95849.857970 174400.069577 -1.05145e-010 155141 110815 -95119.4 -9610.52 -6864.66 95119.4 -145531 13729.3
0 107 182554.556434 88941.787783 163008.264934 5.45494e-010 144697 111305 -88325.2 -8286.62 -6374.32 88325.2 -136411 12748.6
0 108 174630.637764 82047.382792 151455.319871 -7.70619e-009 134155 111796 -81531 -7060.79 -5883.99 81531 -127094 11768
0 109 166925.351378 75165.605311 139740.495682 -5.00003e-011 123515 112286 -74736.7 -5933.02 -5393.66 74736.7 -117582 10787.3
0 110 159490.020462 68295.414449 127863.072534 -1.86573e-009 112776 112776 -67942.5 -4903.33 -4903.33 67942.5 -107873 9806.65
0 111 152384.904512 61435.766363 115822.348932 1.77616e-009 101940 113267 -61148.2 -3971.69 -4412.99 61148.2 -97968.4 8825.98
0 112 145680.220063 54585.614516 103617.641197 3.38385e-009 91005.7 113757 -54354 -3138.13 -3922.66 54354 -87867.6 7845.32
0 113 139456.812703 47743.909939 91248.282955 -2.52472e-009 79973.2 114247 -47559.7 -2402.63 -3432.33 47559.7 -77570.6 6864.66
0 114 133806.124295 40909.601494 78713.624651 1.94292e-009 68842.7 114738 -40765.5 -1765.2 -2942 40765.5 -67077.5 5883.99
0 115 128828.974185 34081.636139 66013.033070 -4.09689e-010 57614.1 115228 -33971.2 -1225.83 -2451.66 33971.2 -56388.2 4903.32
0 116 124632.606436 27258.959200 53145.890871 3.30699e-009 46287.4 115718 -27177 -784.532 -1961.33 27177 -45502.9 3922.66
0 117 121325.551713 20440.514634 40111.596142 -3.70489e-009 34862.6 116209 -20382.7 -441.299 -1471 20382.7 -34421.3 2942
0 118 119010.233317 13625.245308 26909.561963 -6.78765e-010 23339.8 116699 -13588.5 -196.133 -980.665 13588.5 -23143.7 1961.33
0 119 117773.957248 6812.093265 13539.215980 5.31059e-010 11718.9 117189 -6794.25 -49.0332 -490.332 6794.25 -11669.9 980.665
1 0 698323.604627 1060195.910935 812113.060471 -5799.06 695887 57990.6 -797743 -695887 -57990.6 803542 1.14789e-010 117680
1 1 698400.670450 1047466.356202 805429.999037 -5848.1 695923 58481 -790997 -684253 -57500.3 796845 -11669.9 116699
1 2 698380.364468 1034818.957642 798913.137693 -5897.13 695861 58971.3 -784252 -672717 -57010 790149 -23143.7 115718
1 3 698262.704382 1022253.444595 792558.058034 -5946.16 695701 59461.6 -777507 -661280 -56519.6 783453 -34421.3 114738
1 4 698047.708497 1009769.541531 786360.243885 -5995.19 695443 59951.9 -770762 -649940 -56029.3 776757 -45502.9 113757
1 5 697735.395749 997366.967976 780315.086553 -6044.23 695086 60442.3 -764016 -638698 -55539 770061 -56388.2 112776
1 6 697325.785734 985045.438428 774417.890338 -6093.26 694632 60932.6 -757271 -627554 -55048.6 763365 -67077.5 111796
1 7 696818.898735 972804.662277 768663.878295 -6142.29 694079 61422.9 -750526 -616509 -54558.3 756668 -77570.6 110815
1 8 696214.755752 960644.343716 763048.198208 -6191.33 693429 61913.3 -743781 -605561 -54068 749972 -87867.6 109834
1 9 695513.378536 948564.181666 757565.928736 -6240.36 692680 62403.6 -737036 -594712 -53577.6 743276 -97968.4 108854
1 10 694714.789622 936563.869683 752212.085730 -6289.39 691833 62893.9 -730290 -583960 -53087.3 736580 -107873 107873
1 11 693819.012364 924643.095880 746981.628655 -6338.43 690889 63384.3 -723545 -573307 -52597 729884 -117582 106892
1 12 692826.070972 912801.542837 741869.467108 -6387.46 689846 63874.6 -716800 -562752 -52106.6 723187 -127094 105912
1 13 691735.990553 901038.887515 736870.467399 -6436.49 688705 64364.9 -710055 -552294 -51616.3 716491 -136411 104931
1 14 690548.797151 889354.801173 731979.459149 -6485.53 687466 64855.3 -703310 -541935 -51126 709795 -145531 103950
1 15 689264.517793 877748.949275 727191.241894 -6534.56 686129 65345.6 -696564 -531674 -50635.6 703099 -154455 102970
1 16 687883.180534 866220.991407 722500.591647 -6583.59 684694 65835.9 -689819 -521511 -50145.3 696403 -163183 101989
1 17 686404.814508 854770.581184 717902.267409 -6632.63 683161 66326.3 -683074 -511446 -49655 689707 -171714 101008
1 18 684829.449980 843397.366166 713391.017576 -6681.66 681529 66816.6 -676329 -501479 -49164.6 683010 -180050 100028
1 19 683157.118397 832100.987767 708961.586248 -6730.69 679800 67306.9 -669583 -491610 -48674.3 676314 -188190 99047.2
1 20 681387.852453 820881.081164 704608.719383 -6779.73 677973 67797.3 -662838 -481840 -48184 669618 -196133 98066.5
1 21 679521.686147 809737.275208 700327.170802 -6828.76 676047 68287.6 -656093 -472167 -47693.6 662922 -203880 97085.8
1 22 677558.654849 798669.192339 696111.708005 -6877.79 674024 68777.9 -649348 -462592 -47203.3 656226 -211431 96105.2
1 23 675498.795370 787676.448488 691957.117790 -6926.83 671902 69268.3 -642603 -453116 -46713 649529 -218786 95124.5
1 24 673342.146039 776758.652994 687858.211658 -6975.86 669683 69758.6 -635857 -443737 -46222.6 642833 -225945 94143.8
1 25 671088.746774 765915.408509 683809.830986 -7024.89 667365 70248.9 -629112 -434457 -45732.3 636137 -232908 93163.2
1 26 668738.639173 755146.310911 679806.851954 -7073.93 664949 70739.3 -622367 -425275 -45242 629441 -239675 92182.5
